"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 09, 2010","139.90","140.08","140.73","139.90","9.39K","-0.14"
"Dec 08, 2010","140.10","141.22","141.24","140.07","35.37K","-0.79"
"Dec 07, 2010","141.21","141.48","141.59","141.21","34.41K","-0.19"
"Dec 06, 2010","141.48","140.89","141.48","140.82","33.70K","0.43"
"Dec 03, 2010","140.88","140.93","141.11","140.86","32.06K","-0.04"
"Dec 02, 2010","140.94","141.30","141.35","140.84","37.86K","-0.28"
"Dec 01, 2010","141.33","140.81","141.57","140.75","62.08K","0.33"
"Nov 30, 2010","140.87","140.79","140.98","140.66","32.73K","0.01"
"Nov 29, 2010","140.85","140.54","140.91","140.37","36.89K","0.20"
"Nov 26, 2010","140.57","141.11","141.16","140.50","53.77K","-0.38"
"Nov 25, 2010","141.10","141.36","141.53","141.10","41.46K","-0.18"
"Nov 24, 2010","141.36","141.21","141.65","141.04","36.90K","0.09"
"Nov 22, 2010","141.23","141.69","141.71","141.23","31.46K","-0.37"
"Nov 19, 2010","141.76","141.43","141.82","141.17","44.94K","0.22"
"Nov 18, 2010","141.45","141.90","142.01","141.45","53.64K","-0.36"
"Nov 17, 2010","141.96","142.34","142.42","141.92","43.75K","-0.30"
"Nov 16, 2010","142.39","141.94","142.39","141.51","63.98K","0.26"
"Nov 15, 2010","142.02","142.64","142.90","142.01","42.17K","-0.40"
"Nov 12, 2010","142.59","142.42","142.60","142.24","38.12K","0.12"
"Nov 11, 2010","142.42","142.52","142.70","142.42","35.90K","-0.07"
"Nov 10, 2010","142.52","142.70","142.75","142.43","31.67K","-0.13"
"Nov 09, 2010","142.70","142.84","143.01","142.69","33.64K","-0.11"
"Nov 08, 2010","142.86","143.11","143.15","142.85","20.36K","-0.17"
"Nov 05, 2010","143.11","143.30","143.37","143.01","29.81K","-0.12"
"Nov 04, 2010","143.28","143.04","143.35","142.97","19.79K","0.17"
"Nov 02, 2010","143.03","143.06","143.07","142.81","35.99K","-0.03"
"Nov 01, 2010","143.08","143.22","143.33","143.00","25.93K","-0.08"
"Oct 29, 2010","143.20","143.51","143.58","143.19","26.04K","-0.22"
"Oct 28, 2010","143.51","143.12","143.54","143.00","40.68K","0.23"
"Oct 27, 2010","143.18","143.42","143.42","143.08","32.14K","-0.17"
"Oct 26, 2010","143.42","143.43","143.49","143.32","24.69K","0.00"
"Oct 25, 2010","143.42","143.46","143.52","143.38","19.72K","-0.03"
"Oct 22, 2010","143.46","143.61","143.63","143.37","30.33K","-0.10"
"Oct 21, 2010","143.60","143.65","143.74","143.51","30.23K","-0.03"
"Oct 20, 2010","143.64","143.71","143.83","143.61","19.71K","-0.03"
"Oct 19, 2010","143.69","143.88","143.90","143.58","29.30K","-0.13"
"Oct 18, 2010","143.88","143.82","143.97","143.67","17.10K","0.03"
"Oct 15, 2010","143.84","143.94","143.94","143.66","26.26K","-0.06"
"Oct 14, 2010","143.92","143.89","144.02","143.73","25.88K","0.01"
"Oct 13, 2010","143.91","144.11","144.14","143.78","26.53K","-0.10"
"Oct 12, 2010","144.06","143.97","144.18","143.96","17.32K","0.08"
"Oct 08, 2010","143.95","143.83","143.98","143.67","33.96K","0.07"
"Oct 07, 2010","143.85","144.12","144.22","143.75","41.94K","-0.21"
"Oct 06, 2010","144.15","143.72","144.31","143.71","37.37K","0.33"
"Oct 05, 2010","143.67","143.46","143.87","143.43","28.88K","0.15"
"Oct 04, 2010","143.45","143.31","143.49","143.30","17.32K","0.09"
"Oct 01, 2010","143.32","143.42","143.44","143.21","30.32K","-0.07"
"Sep 30, 2010","143.42","143.43","143.43","143.28","20.32K","0.01"
"Sep 29, 2010","143.40","143.07","143.40","143.06","22.94K","0.24"
"Sep 28, 2010","143.05","142.84","143.14","142.84","22.03K","0.15"
"Sep 27, 2010","142.83","142.90","142.94","142.77","18.91K","-0.03"
"Sep 24, 2010","142.88","142.64","142.93","142.61","24.46K","0.16"
"Sep 22, 2010","142.65","142.39","142.77","142.38","28.42K","0.19"
"Sep 21, 2010","142.38","142.10","142.51","142.02","20.38K","0.18"
"Sep 17, 2010","142.12","142.26","142.39","142.07","29.67K","-0.10"
"Sep 16, 2010","142.26","142.11","142.46","141.85","37.02K","0.10"
"Sep 15, 2010","142.12","141.38","142.13","141.38","56.50K","0.52"
"Sep 14, 2010","141.38","141.28","141.48","141.15","31.98K","0.07"
"Sep 13, 2010","141.28","141.25","141.30","141.06","20.75K","0.04"
"Sep 10, 2010","141.23","141.61","141.70","141.21","35.04K","-0.44"
"Sep 09, 2010","141.86","141.75","141.92","141.66","9.45K","0.06"
"Sep 08, 2010","141.78","141.57","141.97","141.57","39.28K","0.16"
"Sep 07, 2010","141.55","141.20","141.58","141.18","53.87K","0.27"
"Sep 06, 2010","141.17","141.92","141.94","141.07","56.60K","-0.51"
"Sep 03, 2010","141.90","142.25","142.33","141.83","52.24K","-0.22"
"Sep 02, 2010","142.21","142.50","142.60","142.15","46.77K","-0.21"
"Sep 01, 2010","142.51","143.01","143.05","142.33","56.09K","-0.34"
"Aug 31, 2010","142.99","142.51","143.00","142.37","37.21K","0.38"
"Aug 30, 2010","142.45","142.55","142.64","141.60","50.63K","-0.07"
"Aug 27, 2010","142.55","142.83","143.00","142.36","50.50K","-0.19"
"Aug 26, 2010","142.82","143.06","143.06","142.80","27.69K","-0.17"
"Aug 25, 2010","143.06","142.90","143.14","142.90","23.94K","0.10"
"Aug 24, 2010","142.92","142.83","143.00","142.81","19.72K","0.06"
"Aug 23, 2010","142.83","142.88","142.95","142.75","19.11K","-0.02"
"Aug 20, 2010","142.86","142.72","143.04","142.66","28.45K","0.08"
"Aug 19, 2010","142.75","142.91","143.05","142.72","33.91K","-0.09"
"Aug 18, 2010","142.88","142.71","142.88","142.58","26.55K","0.13"
"Aug 17, 2010","142.70","142.68","142.91","142.64","30.02K","0.01"
"Aug 16, 2010","142.68","142.38","142.70","142.36","22.99K","0.20"
"Aug 13, 2010","142.39","142.23","142.39","142.14","23.63K","0.12"
"Aug 12, 2010","142.22","142.17","142.42","142.15","35.25K","0.04"
"Aug 11, 2010","142.16","141.93","142.31","141.93","34.18K","0.16"
"Aug 10, 2010","141.93","142.13","142.19","141.92","25.79K","-0.14"
"Aug 09, 2010","142.13","141.86","142.23","141.85","21.09K","0.18"
"Aug 06, 2010","141.87","142.00","142.17","141.78","35.42K","-0.10"
"Aug 05, 2010","142.01","142.26","142.27","142.01","26.59K","-0.20"
"Aug 04, 2010","142.29","141.98","142.33","141.97","32.27K","0.23"
"Aug 03, 2010","141.97","141.98","141.98","141.80","26.92K","-0.01"
"Aug 02, 2010","141.98","141.84","142.03","141.80","22.91K","0.10"
"Jul 30, 2010","141.84","141.71","141.96","141.65","26.66K","0.08"
"Jul 29, 2010","141.72","141.55","141.78","141.43","24.33K","0.12"
"Jul 28, 2010","141.55","141.87","141.87","141.55","31.13K","-0.22"
"Jul 27, 2010","141.86","141.73","141.90","141.71","20.32K","0.08"
"Jul 26, 2010","141.74","141.69","141.75","141.58","16.74K","0.04"
"Jul 23, 2010","141.69","141.90","141.90","141.60","29.32K","-0.13"
"Jul 22, 2010","141.87","141.67","142.08","141.67","30.48K","0.12"
"Jul 21, 2010","141.70","141.61","141.71","141.51","20.27K","0.06"
"Jul 20, 2010","141.61","141.64","141.85","141.58","19.71K","-0.04"
"Jul 19, 2010","141.67","141.67","141.67","141.67","0","0.01"
"Jul 16, 2010","141.66","141.74","141.87","141.66","26.92K","-0.05"
"Jul 15, 2010","141.73","141.25","141.74","141.23","27.61K","0.36"
"Jul 14, 2010","141.22","141.40","141.45","141.12","24.43K","-0.13"
"Jul 13, 2010","141.40","141.46","141.52","141.33","28.71K","-0.04"
"Jul 12, 2010","141.45","141.23","141.46","141.17","22.33K","0.17"
"Jul 09, 2010","141.21","141.46","141.48","141.21","34.20K","-0.19"
"Jul 08, 2010","141.48","141.54","141.67","141.26","34.53K","-0.03"
"Jul 07, 2010","141.52","141.41","141.67","141.32","23.87K","0.06"
"Jul 06, 2010","141.44","141.58","141.75","141.41","32.60K","-0.09"
"Jul 05, 2010","141.57","141.59","141.68","141.41","25.91K","-0.02"
"Jul 02, 2010","141.60","141.87","141.88","141.57","33.23K","-0.20"
"Jul 01, 2010","141.88","141.65","141.95","141.49","39.46K","0.16"
"Jun 30, 2010","141.66","141.47","141.78","141.47","30.73K","0.13"
"Jun 29, 2010","141.47","141.09","141.49","141.02","29.00K","0.27"
"Jun 28, 2010","141.09","141.06","141.19","141.05","14.20K","0.02"
"Jun 25, 2010","141.06","141.07","141.18","141.00","26.73K","0.00"
"Jun 24, 2010","141.06","140.92","141.13","140.89","24.28K","0.10"
"Jun 23, 2010","140.92","140.82","141.05","140.80","27.50K","0.07"
"Jun 22, 2010","140.82","140.48","140.84","140.39","31.26K","0.24"
"Jun 21, 2010","140.48","140.60","140.63","140.45","20.72K","-0.09"
"Jun 18, 2010","140.61","140.40","140.63","140.36","17.97K","0.14"
"Jun 17, 2010","140.41","140.29","140.50","140.26","22.89K","0.09"
"Jun 16, 2010","140.28","140.48","140.50","140.20","29.38K","-0.10"
"Jun 15, 2010","140.42","140.34","140.50","140.32","20.65K","0.04"
"Jun 14, 2010","140.36","140.36","140.40","140.24","17.07K","0.01"
"Jun 11, 2010","140.34","140.62","140.64","140.20","37.06K","-0.53"
"Jun 10, 2010","141.09","141.07","141.19","141.03","6.16K","-0.01"
"Jun 09, 2010","141.10","140.93","141.19","140.92","25.48K","0.13"
"Jun 08, 2010","140.92","141.00","141.04","140.85","29.47K","-0.06"
"Jun 07, 2010","141.00","140.65","141.02","140.63","29.81K","0.25"
"Jun 04, 2010","140.65","140.44","140.66","140.18","38.32K","0.15"
"Jun 03, 2010","140.44","140.56","140.62","140.41","27.07K","-0.07"
"Jun 02, 2010","140.54","140.44","140.67","140.39","37.65K","0.08"
"Jun 01, 2010","140.43","140.41","140.53","140.40","33.76K","0.01"
"May 31, 2010","140.41","140.47","140.57","140.34","22.81K","-0.03"
"May 28, 2010","140.45","140.41","140.58","140.18","35.12K","-0.01"
"May 27, 2010","140.46","140.78","140.80","140.42","37.54K","-0.26"
"May 26, 2010","140.82","140.64","140.88","140.55","36.25K","0.16"
"May 25, 2010","140.60","140.25","140.63","140.24","27.34K","0.25"
"May 24, 2010","140.25","140.39","140.42","140.25","19.69K","-0.11"
"May 21, 2010","140.40","140.29","140.61","140.17","38.03K","0.11"
"May 20, 2010","140.25","140.03","140.32","139.98","34.42K","0.15"
"May 19, 2010","140.04","139.83","140.18","139.77","29.65K","0.14"
"May 18, 2010","139.85","139.99","139.99","139.82","22.28K","-0.12"
"May 17, 2010","140.02","139.85","140.06","139.82","21.55K","0.12"
"May 14, 2010","139.85","139.68","139.90","139.60","20.10K","0.11"
"May 13, 2010","139.69","139.85","139.86","139.66","17.96K","-0.11"
"May 12, 2010","139.85","139.78","139.90","139.64","23.49K","0.08"
"May 11, 2010","139.74","139.66","139.76","139.46","32.56K","0.06"
"May 10, 2010","139.66","139.88","139.94","139.52","30.00K","-0.18"
"May 07, 2010","139.91","139.90","140.10","139.70","29.44K","0.04"
"May 06, 2010","139.86","139.68","140.08","139.63","22.58K","0.12"
"May 03, 2010","139.69","139.69","139.69","139.69","0","0.01"
"Apr 30, 2010","139.68","139.74","139.79","139.64","18.09K","-0.06"
"Apr 29, 2010","139.76","139.76","139.76","139.76","0","0.01"
"Apr 28, 2010","139.75","139.40","139.79","139.37","28.63K","0.25"
"Apr 27, 2010","139.40","139.18","139.40","139.15","16.86K","0.16"
"Apr 26, 2010","139.18","139.36","139.38","139.17","16.63K","-0.13"
"Apr 23, 2010","139.36","139.34","139.43","139.18","24.69K","0.01"
"Apr 22, 2010","139.34","139.11","139.35","139.10","24.11K","0.15"
"Apr 21, 2010","139.13","139.24","139.26","139.07","19.29K","-0.09"
"Apr 20, 2010","139.25","139.32","139.34","139.13","25.89K","-0.03"
"Apr 19, 2010","139.29","138.94","139.36","138.93","29.39K","0.26"
"Apr 16, 2010","138.93","138.72","138.99","138.71","25.49K","0.16"
"Apr 15, 2010","138.71","138.72","138.92","138.62","31.94K","-0.01"
"Apr 14, 2010","138.73","138.60","138.84","138.54","26.73K","0.09"
"Apr 13, 2010","138.60","138.22","138.63","138.21","31.81K","0.27"
"Apr 12, 2010","138.23","138.36","138.42","138.17","18.70K","-0.12"
