"Date","Price","Open","High","Low","Change %"
"May 18, 1998","4.9950","4.9950","4.9950","4.9950","-0.18"
"May 17, 1998","5.0040","5.0040","5.0040","5.0040","0.00"
"May 15, 1998","5.0040","5.0040","5.0040","5.0040","0.28"
"May 14, 1998","4.9900","4.9900","4.9900","4.9900","-0.34"
"May 13, 1998","5.0070","5.0070","5.0070","5.0070","-0.65"
"May 12, 1998","5.0400","5.0400","5.0400","5.0400","1.04"
"May 11, 1998","4.9880","4.9880","4.9880","4.9880","0.75"
"May 10, 1998","4.9510","4.9510","4.9510","4.9510","-0.44"
"May 09, 1998","4.9730","4.9730","4.9730","4.9730","-0.12"
"May 08, 1998","4.9790","4.9790","4.9790","4.9790","-0.46"
"May 07, 1998","5.0020","5.0020","5.0020","5.0020","0.42"
"May 06, 1998","4.9810","4.9810","4.9810","4.9810","-0.02"
"May 05, 1998","4.9820","4.9820","4.9820","4.9820","0.61"
"May 04, 1998","4.9520","4.9520","4.9520","4.9520","0.94"
"May 03, 1998","4.9060","4.9060","4.9060","4.9060","0.00"
"May 01, 1998","4.9060","4.9060","4.9060","4.9060","-1.60"
"Apr 30, 1998","4.9860","4.9860","4.9860","4.9860","-1.07"
"Apr 29, 1998","5.0400","5.0400","5.0400","5.0400","0.48"
"Apr 28, 1998","5.0160","5.0160","5.0160","5.0160","-0.02"
"Apr 27, 1998","5.0170","5.0170","5.0170","5.0170","1.85"
"Apr 26, 1998","4.9260","4.9260","4.9260","4.9260","0.00"
"Apr 24, 1998","4.9260","4.9260","4.9260","4.9260","-0.16"
"Apr 23, 1998","4.9340","4.9340","4.9340","4.9340","0.06"
"Apr 22, 1998","4.9310","4.9310","4.9310","4.9310","-2.16"
"Apr 21, 1998","5.0400","5.0400","5.0400","5.0400","2.98"
"Apr 20, 1998","4.8940","4.8940","4.8940","4.8940","0.82"
"Apr 19, 1998","4.8540","4.8540","4.8540","4.8540","-0.19"
"Apr 17, 1998","4.8630","4.8630","4.8630","4.8630","0.02"
"Apr 16, 1998","4.8620","4.8620","4.8620","4.8620","-0.14"
"Apr 15, 1998","4.8690","4.8690","4.8690","4.8690","-3.39"
"Apr 14, 1998","5.0400","5.0400","5.0400","5.0400","3.70"
